COUNTY_ID,COUNTY,TOWN_ID,TOWN,V_ID,VILLAGE,A0A14_CNT,A0A14_M_CNT,A0A14_F_CNT,A15A64_CNT,A15A64_M_CNT,A15A64_F_CNT,A65UP_CNT,A65UP_M_CNT,A65UP_F_CNT,INFO_TIME
"64000",高雄市,"64000050",三民區,64000050-015,本揚里,"1960","1016","944","5770","2638","3132","1628","771","857",113Y06M
"64000",高雄市,"64000050",三民區,64000050-016,寶獅里,"309","161","148","2509","1221","1288","920","412","508",113Y06M
"64000",高雄市,"64000050",三民區,64000050-017,寶德里,"463","243","220","3738","1818","1920","1149","523","626",113Y06M
"64000",高雄市,"64000050",三民區,64000050-018,寶泰里,"362","192","170","3034","1405","1629","862","389","473",113Y06M
"64000",高雄市,"64000050",三民區,64000050-019,寶興里,"634","332","302","5086","2401","2685","1464","622","842",113Y06M
"64000",高雄市,"64000050",三民區,64000050-020,寶中里,"382","206","176","2060","1012","1048","661","286","375",113Y06M
"64000",高雄市,"64000050",三民區,64000050-021,寶華里,"520","270","250","2384","1088","1296","710","320","390",113Y06M
"64000",高雄市,"64000050",三民區,64000050-022,寶國里,"1641","825","816","6312","2897","3415","1440","657","783",113Y06M
"64000",高雄市,"64000050",三民區,64000050-023,寶民里,"508","276","232","2334","1119","1215","715","337","378",113Y06M
"64000",高雄市,"64000050",三民區,64000050-024,寶慶里,"451","235","216","1982","941","1041","640","286","354",113Y06M
"64000",高雄市,"64000050",三民區,64000050-025,寶業里,"1362","692","670","4854","2212","2642","1132","514","618",113Y06M
"64000",高雄市,"64000050",三民區,64000050-026,寶盛里,"473","247","226","3636","1760","1876","1184","520","664",113Y06M
"64000",高雄市,"64000050",三民區,64000050-027,寶安里,"697","373","324","5369","2516","2853","1616","703","913",113Y06M
"64000",高雄市,"64000050",三民區,64000050-028,寶龍里,"502","249","253","2963","1477","1486","1029","453","576",113Y06M
"64000",高雄市,"64000050",三民區,64000050-029,寶珠里,"374","190","184","5255","2935","2320","1543","748","795",113Y06M
"64000",高雄市,"64000050",三民區,64000050-030,寶玉里,"1654","852","802","6654","3039","3615","1542","706","836",113Y06M
"64000",高雄市,"64000050",三民區,64000050-031,灣子里,"273","148","125","3170","1576","1594","822","336","486",113Y06M
"64000",高雄市,"64000050",三民區,64000050-032,灣愛里,"243","134","109","2253","1164","1089","635","262","373",113Y06M
"64000",高雄市,"64000050",三民區,64000050-033,灣中里,"371","202","169","4170","2041","2129","1162","490","672",113Y06M
"64000",高雄市,"64000050",三民區,64000050-034,灣華里,"132","68","64","1936","965","971","605","260","345",113Y06M
"64000",高雄市,"64000050",三民區,64000050-035,灣勝里,"124","68","56","1222","622","600","533","227","306",113Y06M
"64000",高雄市,"64000050",三民區,64000050-036,灣利里,"209","101","108","2123","1098","1025","867","381","486",113Y06M
"64000",高雄市,"64000050",三民區,64000050-037,灣復里,"235","130","105","2766","1359","1407","745","323","422",113Y06M
"64000",高雄市,"64000050",三民區,64000050-038,正興里,"1805","976","829","10087","4743","5344","2151","919","1232",113Y06M
"64000",高雄市,"64000050",三民區,64000050-039,正順里,"487","245","242","2863","1351","1512","858","378","480",113Y06M
"64000",高雄市,"64000050",三民區,64000050-040,灣興里,"256","129","127","1351","671","680","449","197","252",113Y06M
"64000",高雄市,"64000050",三民區,64000050-041,灣成里,"283","137","146","2405","1190","1215","576","240","336",113Y06M
"64000",高雄市,"64000050",三民區,64000050-042,安康里,"237","119","118","1889","959","930","732","319","413",113Y06M
"64000",高雄市,"64000050",三民區,64000050-043,安寧里,"125","67","58","1222","645","577","489","218","271",113Y06M
"64000",高雄市,"64000050",三民區,64000050-044,安吉里,"668","332","336","3679","1703","1976","1073","463","610",113Y06M
"64000",高雄市,"64000050",三民區,64000050-045,安發里,"547","276","271","3130","1465","1665","1147","492","655",113Y06M
"64000",高雄市,"64000050",三民區,64000050-046,安東里,"344","159","185","2211","1075","1136","889","397","492",113Y06M
"64000",高雄市,"64000050",三民區,64000050-047,安和里,"295","147","148","1862","914","948","684","301","383",113Y06M
"64000",高雄市,"64000050",三民區,64000050-048,達德里,"134","82","52","830","414","416","399","188","211",113Y06M
"64000",高雄市,"64000050",三民區,64000050-049,達明里,"195","97","98","1025","505","520","477","201","276",113Y06M
"64000",高雄市,"64000050",三民區,64000050-050,達仁里,"169","85","84","953","461","492","413","177","236",113Y06M
"64000",高雄市,"64000050",三民區,64000050-051,達勇里,"79","46","33","619","317","302","271","127","144",113Y06M
"64000",高雄市,"64000050",三民區,64000050-052,同德里,"218","105","113","1824","924","900","789","367","422",113Y06M
"64000",高雄市,"64000050",三民區,64000050-053,德智里,"211","111","100","1508","714","794","642","284","358",113Y06M
"64000",高雄市,"64000050",三民區,64000050-054,德仁里,"184","90","94","1295","646","649","522","228","294",113Y06M
"64000",高雄市,"64000050",三民區,64000050-055,安生里,"129","65","64","1312","638","674","397","190","207",113Y06M
